Model,Algorithm,Photo 1,Photo 2,Cos Sim,Euci
VGG-Face,opencv,Photo 1,Photo 2,0.24931285461661995,1.2253057947984907
VGG-Face,opencv,Photo 1,Photo 3,0.39368193633990317,1.1011975877744167
VGG-Face,opencv,Photo 2,Photo 3,0.3717165771306326,1.1209669244624192
VGG-Face,mtcnn,Photo 1,Photo 2,0.2497031068651924,1.2249872596356322
VGG-Face,mtcnn,Photo 1,Photo 3,0.4970168983730468,1.0029786654031614
VGG-Face,mtcnn,Photo 2,Photo 3,0.3965527616637967,1.0985874915874507
VGG-Face,retinaface,Photo 1,Photo 2,0.2491883621174272,1.2254073917539203
VGG-Face,retinaface,Photo 1,Photo 3,0.41702205663293895,1.0797943724312156
VGG-Face,retinaface,Photo 2,Photo 3,0.4406229803211062,1.0577116995466145
Facenet,opencv,Photo 1,Photo 2,0.7790352483891101,8.028938582226921
Facenet,opencv,Photo 1,Photo 3,0.7213537425473613,9.467072770485588
Facenet,opencv,Photo 2,Photo 3,0.6261945023182278,10.477723028788272
Facenet,mtcnn,Photo 1,Photo 2,0.7384490188352519,8.520415314227817
Facenet,mtcnn,Photo 1,Photo 3,0.7297394514997401,9.10697705801621
Facenet,mtcnn,Photo 2,Photo 3,0.6470245236382095,10.036034988353814
Facenet,retinaface,Photo 1,Photo 2,0.785189275486595,7.7822188659519815
Facenet,retinaface,Photo 1,Photo 3,0.7316610933542406,8.846539879406594
Facenet,retinaface,Photo 2,Photo 3,0.5546363263328375,10.928144422128023
OpenFace,opencv,Photo 1,Photo 2,0.5839111976790906,0.912237704036966
OpenFace,opencv,Photo 1,Photo 3,0.5808418725824833,0.9155961694933575
OpenFace,opencv,Photo 2,Photo 3,0.3602975150007209,1.1311079246810396
OpenFace,mtcnn,Photo 1,Photo 2,0.5953764937010007,0.8995815964592797
OpenFace,mtcnn,Photo 1,Photo 3,0.254419954478251,1.2211306386362142
OpenFace,mtcnn,Photo 2,Photo 3,0.5366292386247979,0.9626741466404257
OpenFace,retinaface,Photo 1,Photo 2,0.6480232122917726,0.8390194151179721
OpenFace,retinaface,Photo 1,Photo 3,0.3385795218796962,1.1501482628775457
OpenFace,retinaface,Photo 2,Photo 3,0.5078854815418528,0.9920832378381534
ArcFace,opencv,Photo 1,Photo 2,0.34214340631488865,4.964743700667651
ArcFace,opencv,Photo 1,Photo 3,0.4733072287506621,3.8956368671709707
ArcFace,opencv,Photo 2,Photo 3,0.4108706713330347,4.687454887383705
ArcFace,mtcnn,Photo 1,Photo 2,0.36577578991317866,4.642033309720586
ArcFace,mtcnn,Photo 1,Photo 3,0.5099276442561991,3.615019933442832
ArcFace,mtcnn,Photo 2,Photo 3,0.483567426396053,4.469909585951941
ArcFace,retinaface,Photo 1,Photo 2,0.31805991354948504,4.5937312430004
ArcFace,retinaface,Photo 1,Photo 3,0.4579468618744078,3.4485468175491616
ArcFace,retinaface,Photo 2,Photo 3,0.32825813866779857,4.841548048068086
