Model,Algorithm,Photo 1,Photo 2,Cos Sim,Euci
VGG-Face,opencv,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.6221945628751714,0.8692588074041341
VGG-Face,opencv,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.17974998809032766,1.2808200591103127
VGG-Face,opencv,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.32796356011439487,1.1593415716566065
VGG-Face,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.6380958529782036,0.850769236657975
VGG-Face,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.2798560546406071,1.2001199484713125
VGG-Face,mtcnn,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.4800225220480718,1.0197818177943048
VGG-Face,retinaface,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.6390115495920724,0.8496922388817347
VGG-Face,retinaface,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.26855641736469,1.20949872479082
VGG-Face,retinaface,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.5101720210957743,0.9897757108600167
Facenet,opencv,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.846525930123836,7.174648996273816
Facenet,opencv,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.6700403024096209,10.431902239180749
Facenet,opencv,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.7631005368258872,8.738566826968292
Facenet,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.7630471853889284,9.084659909982323
Facenet,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.6643314837289505,10.53925047778019
Facenet,mtcnn,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.723907335667112,9.62139425946685
Facenet,retinaface,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.776322924070827,8.704885442466999
Facenet,retinaface,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.5880659106797523,11.481176925423009
Facenet,retinaface,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.7328400311545902,9.298901460491837
OpenFace,opencv,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.7083852323685126,0.7636946516771126
OpenFace,opencv,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.28637967118912727,1.194671792991276
OpenFace,opencv,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.3713887383578961,1.1212593549455285
OpenFace,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.6298452835873974,0.8604123353129145
OpenFace,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.22667325264107369,1.2436452735208539
OpenFace,mtcnn,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.4272396993587583,1.0702899730703128
OpenFace,retinaface,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.8233313209931375,0.5944218659666223
OpenFace,retinaface,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.2582269589372971,1.2180090763212597
OpenFace,retinaface,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.47044614006521773,1.0291296325256833
ArcFace,opencv,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.6872746867655367,2.9939444456233364
ArcFace,opencv,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.3524743757346389,4.028476147530069
ArcFace,opencv,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.5243677567023847,3.307530007022731
ArcFace,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.6814688232733722,2.6934000369422297
ArcFace,mtcnn,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.4160981453479082,3.4997089141767552
ArcFace,mtcnn,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.6404858921125733,2.392632231709678
ArcFace,retinaface,photos/photo-4-1.jpeg,photos/photo-4-2.jpeg,0.6732233619946987,2.5974799453644537
ArcFace,retinaface,photos/photo-4-1.jpeg,photos/photo-4-3.jpeg,0.38534227942764565,3.441145302969731
ArcFace,retinaface,photos/photo-4-2.jpeg,photos/photo-4-3.jpeg,0.5904105488204348,2.4843771668372696
