Model,Algorithm,Photo 1,Photo 2,Cos Sim,Euci
VGG-Face,opencv,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.34393980321511003,1.1454782379293726
VGG-Face,mtcnn,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.3511062512564055,1.139204765389958
VGG-Face,retinaface,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.40328752410984403,1.0924399076289333
Facenet,opencv,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.6230704601865525,10.943913972643632
Facenet,mtcnn,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.5727330628972435,11.375233390118428
Facenet,retinaface,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.626261061415386,10.785281391951573
OpenFace,opencv,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.7393897569286427,0.7219559885718795
OpenFace,mtcnn,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.6169751142408175,0.8752427024661296
OpenFace,retinaface,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.8350702545084321,0.5743339360790398
ArcFace,opencv,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.5183872878236321,4.110360191973667
ArcFace,mtcnn,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.3967091107517799,4.060845803944545
ArcFace,retinaface,photos/photo-5-1.jpeg,photos/photo-5-2.jpeg,0.5258887104683757,3.9129196749834656
