Model,Algorithm,Photo 1,Photo 2,Cos Sim,Euci
VGG-Face,opencv,Photo 1,Photo 2,0.07085279102410788,1.3631927295697348
VGG-Face,opencv,Photo 1,Photo 3,0.016190072967863504,1.402718736619809
VGG-Face,opencv,Photo 2,Photo 3,0.22097569566922692,1.2482181735023516
VGG-Face,mtcnn,Photo 1,Photo 2,0.06795253051195972,1.3653186217788433
VGG-Face,mtcnn,Photo 1,Photo 3,0.015925933737372625,1.4029070291809271
VGG-Face,mtcnn,Photo 2,Photo 3,0.2179478702534002,1.2506415391682781
VGG-Face,retinaface,Photo 1,Photo 2,0.06110825018517216,1.3703224071836728
VGG-Face,retinaface,Photo 1,Photo 3,0.01352108605222936,1.4046201721090088
VGG-Face,retinaface,Photo 2,Photo 3,0.19609991977989677,1.2679905995078222
Facenet,opencv,Photo 1,Photo 2,-0.0016773353211893345,16.887536577212728
Facenet,opencv,Photo 1,Photo 3,-0.015524217432575295,17.144856162148493
Facenet,opencv,Photo 2,Photo 3,0.283119057693397,13.76646216843477
Facenet,mtcnn,Photo 1,Photo 2,0.07635948958364323,16.151987455365802
Facenet,mtcnn,Photo 1,Photo 3,0.02274169264320444,16.742452940362192
Facenet,mtcnn,Photo 2,Photo 3,0.3045459763246693,13.591036637057721
Facenet,retinaface,Photo 1,Photo 2,0.08921751329081311,16.115384732933027
Facenet,retinaface,Photo 1,Photo 3,0.004044667182325714,17.071359960502765
Facenet,retinaface,Photo 2,Photo 3,0.22525131732558035,14.439903934022693
OpenFace,opencv,Photo 1,Photo 2,0.5228008261532865,0.9769330966420007
OpenFace,opencv,Photo 1,Photo 3,0.13035909847691327,1.3188183082950382
OpenFace,opencv,Photo 2,Photo 3,0.7031616698542834,0.7705041404961357
OpenFace,mtcnn,Photo 1,Photo 2,0.5015973029673331,0.9984014225890189
OpenFace,mtcnn,Photo 1,Photo 3,0.3459154960582271,1.1437521550672158
OpenFace,mtcnn,Photo 2,Photo 3,0.640447639534445,0.8480004090041963
OpenFace,retinaface,Photo 1,Photo 2,0.4250360679371867,1.072346897875708
OpenFace,retinaface,Photo 1,Photo 3,0.3235438639561803,1.1631475128687427
OpenFace,retinaface,Photo 2,Photo 3,0.7440103189723147,0.7155273537634932
ArcFace,opencv,Photo 1,Photo 2,-0.03921473076753751,5.645986284618841
ArcFace,opencv,Photo 1,Photo 3,0.13395958654546875,5.46795871044831
ArcFace,opencv,Photo 2,Photo 3,0.10423841232199749,5.260392081866672
ArcFace,mtcnn,Photo 1,Photo 2,-0.025395768926712137,5.731190399723371
ArcFace,mtcnn,Photo 1,Photo 3,0.1193832116460119,5.737798611727556
ArcFace,mtcnn,Photo 2,Photo 3,0.0945151564327408,5.098010275934994
ArcFace,retinaface,Photo 1,Photo 2,-0.05805804226675433,5.851472665032276
ArcFace,retinaface,Photo 1,Photo 3,0.06947938339674482,5.751225331680511
ArcFace,retinaface,Photo 2,Photo 3,0.17451513704370525,4.685935004376908
